행정구역,총인구수,연령구간인구수,60~69세,70~79세,80~89세,90~99세,100세 이상
세종시,"354,705","52,504","29,958","14,298","7,056","1,167",25
조치원읍,"42,789","10,103","5,302","3,076","1,493",224,8
연기면,"2,671",928,496,256,152,23,1
연동면,"3,123","1,458",679,413,309,57,0
부강면,"6,196","2,100","1,038",618,396,47,1
금남면,"8,790","3,686","1,750","1,157",661,115,3
장군면,"6,621","2,131","1,115",588,378,49,1
연서면,"7,434","2,937","1,383",929,551,72,2
전의면,"5,590","2,211",992,663,481,74,1
전동면,"3,509","1,733",852,519,313,47,2
소정면,"2,409",890,409,265,193,23,0
한솔동,"19,208","1,913","1,185",495,195,36,2
새롬동,"29,390","2,388","1,617",531,190,50,0
도담동,"39,457","3,788","2,262",996,444,86,0
아름동,"23,525","1,823","1,177",450,158,38,0
종촌동,"29,536","3,076","1,902",804,327,43,0
고운동,"34,387","3,393","2,309",808,229,47,0
소담동,"32,403","2,652","1,828",584,187,49,4
보람동,"19,386","1,893","1,278",437,146,32,0
대평동,"10,968","1,166",807,228,105,26,0
다정동,"27,313","2,235","1,577",481,148,29,0
